subID,filter1,filter2,filter3,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8
137,0,0,0,24,30,152,5,16,44,20,7
138,0,0,0,43,15,204,2,3,15,15,1
139,0,0,1,14,34,14,33,34,74,33,62
140,0,0,0,7,48,102,2,6,76,43,14
141,1,1,1,2,5,0,3,8,123,0,157
142,0,0,0,76,15,181,0,8,11,7,0
143,0,0,0,37,24,200,0,3,13,21,0
144,0,0,0,55,35,149,1,14,17,23,4
145,0,0,0,28,30,185,0,2,24,29,0
146,0,0,0,48,36,158,2,14,14,25,1
147,0,0,0,6,33,159,9,11,29,32,19
148,0,0,0,6,44,120,5,4,69,45,5
149,0,0,0,76,23,158,0,10,18,13,0
150,0,0,0,6,46,146,0,2,53,44,1
151,0,0,0,40,31,175,0,6,22,24,0
152,0,0,0,13,43,35,32,20,78,55,22
153,0,0,1,2,12,14,18,13,105,18,116
154,0,0,0,50,37,140,1,5,28,33,4
155,0,0,0,77,18,173,2,12,7,8,1
156,0,0,0,46,15,220,0,5,2,10,0
157,0,0,0,46,38,149,0,11,27,27,0
158,0,0,0,2,40,95,20,11,47,50,33
159,0,0,0,52,18,204,1,8,4,11,0
160,0,0,0,9,45,142,1,8,53,39,1
161,0,0,0,5,49,139,0,5,56,44,0
162,0,0,0,21,34,169,1,3,34,33,3
163,0,0,0,3,48,130,1,2,63,48,3
164,0,0,0,63,25,167,0,16,18,8,1
165,0,0,0,51,20,153,0,6,33,15,20
166,0,0,0,44,25,174,1,5,26,21,2
167,0,0,0,8,35,152,5,3,37,37,21
168,0,0,0,24,39,143,0,8,48,32,4
169,0,0,0,53,23,180,0,9,17,15,1
170,0,0,0,29,38,140,4,12,41,30,4
171,0,0,0,73,22,174,0,10,7,12,0
172,0,0,0,5,43,184,0,7,23,36,0
173,0,0,0,87,19,166,1,10,5,10,0
174,0,0,0,6,33,79,12,7,99,38,24
175,0,0,0,1,34,202,2,2,23,34,0
176,0,0,0,100,36,126,0,22,0,14,0
177,0,0,0,17,42,136,2,7,47,38,9
178,0,0,0,29,28,193,2,10,14,19,3
179,0,0,1,0,5,4,7,3,90,9,180
180,0,0,0,21,43,137,1,14,50,31,1
181,0,0,0,4,26,85,10,9,65,28,71
182,0,0,0,3,42,126,9,8,56,44,10
183,0,0,0,1,35,122,3,3,56,36,42
184,0,0,0,44,34,157,1,11,26,25,0
185,0,0,0,37,18,205,3,3,13,18,1
186,0,0,0,4,46,162,2,3,34,44,3
187,0,0,0,24,38,170,1,6,25,33,1
188,0,0,0,16,31,129,16,6,38,41,21
189,0,0,0,9,46,163,3,9,24,40,4
190,0,0,0,18,39,87,7,8,75,39,25
191,0,0,0,63,22,182,0,6,8,17,0
192,0,0,0,13,30,49,30,9,81,51,35
193,0,0,0,10,30,82,11,19,80,22,44
194,0,0,0,3,31,152,7,1,49,38,17
195,0,0,0,52,39,136,5,16,21,28,1
196,0,0,0,4,43,118,5,2,69,46,11
197,0,0,0,0,38,104,19,10,73,48,6
198,0,0,0,27,27,180,0,5,37,22,0
199,0,0,0,49,51,141,0,33,6,18,0
200,0,0,0,36,26,180,0,4,30,22,0
201,0,0,1,9,11,53,8,12,112,7,86
202,0,0,0,10,41,137,1,5,62,37,5
203,0,0,0,6,51,124,0,1,66,50,0
204,0,0,0,33,24,188,1,4,25,21,2
205,0,0,0,36,35,169,1,1,17,36,3
206,0,0,0,44,23,124,4,10,55,17,21
207,0,0,0,73,16,185,0,5,8,11,0
208,0,0,0,0,43,146,1,3,60,42,3
209,0,0,0,15,49,130,7,17,37,39,4
210,0,0,0,8,32,126,3,8,61,27,33
211,0,0,0,1,36,129,1,6,76,31,18
212,0,0,0,6,39,152,2,1,54,41,3
213,0,0,0,5,45,108,2,4,87,42,5
214,0,0,0,0,32,95,1,1,93,33,43
215,0,0,1,16,23,12,21,19,88,25,94
216,0,0,0,2,32,143,4,2,50,34,31
217,0,0,0,61,20,184,0,6,12,15,0
218,0,0,0,9,45,146,1,3,51,43,0
219,0,0,0,49,29,155,2,11,30,20,2
220,0,0,0,35,42,138,0,5,42,36,0
221,0,0,0,25,30,103,10,6,65,34,25
222,0,0,0,74,25,168,0,11,6,14,0
223,0,0,0,13,37,158,0,7,51,30,2
224,0,0,0,81,18,178,0,6,4,11,0
225,0,0,0,30,38,140,0,6,50,32,2
226,0,0,0,54,31,162,3,19,14,15,0
227,0,0,0,14,55,131,2,21,38,37,0
228,0,0,0,17,31,173,0,4,43,28,2
229,0,0,0,19,46,139,7,16,25,38,8
230,0,0,0,3,29,80,10,8,88,31,49
231,0,0,0,7,35,177,0,4,41,31,3
232,0,0,0,73,20,178,0,11,6,10,0
233,0,0,0,5,37,86,11,8,89,40,22
234,0,0,0,1,37,162,6,5,46,38,3
235,0,0,0,28,29,172,1,9,32,21,6
236,0,0,0,11,32,190,2,7,28,28,0
237,0,0,1,1,12,39,21,1,84,33,107
238,0,0,0,6,51,138,2,15,38,39,9
239,0,0,0,29,40,145,3,9,38,34,0
240,0,0,0,30,44,135,2,5,40,41,1
241,0,0,0,6,44,145,2,9,54,38,0
242,0,0,0,7,39,178,1,3,31,37,2
